method,human_ratio,tag,mean_speed,speed_variance,rms_acc,rms_jerk,min_gap,collision_count,collision_clamp_count
no_rl,0.25,h25,4.867621246359264,0.6302680854344974,0.5780834797045081,8.682344140385663,0.5100000000000193,0.0,3.0
no_rl,0.5,h50,3.7444615828816232,1.9386208610606102,0.43659487999884844,5.169319616864588,0.5100000000000193,0.0,3.0
no_rl,0.75,h75,2.9841484006246723,3.792929951368628,0.4203923939397519,3.45094365714479,0.307406694121255,42.0,4.0
ppo,0.25,h25,5.080794525912455,0.7797258144860918,0.441422396251542,6.301476367520271,0.5100000000000193,0.0,3.0
ppo,0.5,h50,3.7270205026666408,1.819449222513651,0.4393572071313524,5.256603359123925,0.5100000000000193,0.0,3.0
ppo,0.75,h75,2.9914756671415446,3.6074607880479763,0.4193756400851683,3.519632064662262,0.4890359114056366,1.0,3.0
sac,0.25,h25,4.822307120278894,0.6295661371236656,0.745568077840361,11.362531774927023,0.5100000000000193,0.0,3.0
sac,0.5,h50,3.754932737731381,1.9157576473487918,0.4769107674545065,6.011286016645506,0.5100000000000193,0.0,3.0
sac,0.75,h75,2.977267182353985,3.8285803517792547,0.42561099022060317,3.5908319299896387,0.3000000000000113,42.0,5.0
